Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$425,514,702","$204,417,855",48%,"$221,096,847",52%
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
3,Dolittle,"$227,908,130","$77,047,065",33.8%,"$150,861,065",66.2%
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
5,The Invisible Man,"$124,549,496","$64,914,050",52.1%,"$59,635,446",47.9%
6,The Gentlemen,"$117,769,345","$36,296,853",30.8%,"$81,472,492",69.2%
7,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
8,The Grudge,"$49,511,319","$21,221,803",42.9%,"$28,289,516",57.1%
9,Fantasy Island,"$48,607,556","$26,441,782",54.4%,"$22,165,774",45.6%
10,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%

